UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE 
174428,"R",211430,"A",,"A",,"G",7048,"A",,"G",7048,"A",,"A",,2
174437,"R",38425,"A",,"A",,"G",1281,"A",,"G",1281,"A",,"A",,2
174473,"R",81510,"A",,"A",,"G",2717,"A",,"G",2717,"A",,"A",,2
174482,"R",1140,"A",,"A",,"G",38,"A",,"G",38,"A",,"A",,2
174491,"R",76459,"A",,"R",3139,"G",2549,"G",131,"G",2549,"G",131,"A",,2
174507,"R",4460,"A",,"R",6188,"G",149,"G",258,"G",149,"G",258,"R",1093,2
174525,"R",2144,"A",,"A",,"G",71,"A",,"G",71,"A",,"A",,2
174534,"A",,"R",120026,"A",,"G",133,"A",,"G",133,"A",,"A",,1
174570,"R",20014,"A",,"A",,"G",667,"A",,"G",667,"A",,"A",,2
174604,"R",9538,"A",,"A",,"G",318,"A",,"G",318,"A",,"A",,2
174738,"R",133319,"A",,"A",,"G",4444,"A",,"G",4444,"A",,"A",,2
174747,"R",60739,"A",,"A",,"G",2025,"A",,"G",2025,"A",,"A",,2
174756,"R",104790,"A",,"A",,"G",3493,"A",,"G",3493,"A",,"A",,2
174765,"A",,"R",102161,"A",,"G",114,"A",,"G",114,"A",,"A",,1
174783,"R",350022,"A",,"R",27712,"G",11667,"G",1155,"G",11667,"G",1155,"A",,2
174792,"R",55412,"A",,"R",1817,"G",1847,"G",76,"G",1847,"G",76,"A",,2
