UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,ACTTYPE 
157818,"R",34500,"A",,"A",,"G",1150,"A",,"G",1150,"A",,2
157827,"A",,"R",108000,"A",,"G",120,"A",,"G",120,"A",,1
157863,"R",23918,"A",,"R",14571,"G",797,"G",607,"G",797,"G",607,2
157951,"R",450146,"A",,"R",43210,"G",15005,"G",1800,"G",15005,"G",1800,2
158088,"R",12346,"A",,"A",,"G",412,"A",,"G",412,"A",,2
158158,"A",,"R",115920,"A",,"G",129,"A",,"G",129,"A",,1
158219,"R",7500,"A",,"A",,"G",250,"A",,"G",250,"A",,2
158237,"R",10661,"A",,"A",,"G",355,"A",,"G",355,"A",,2
158246,"A",,"R",433440,"A",,"G",482,"A",,"G",482,"A",,1
158282,"A",,"R",58300,"A",,"G",65,"A",,"G",65,"A",,1
158307,"R",6534,"A",,"A",,"G",218,"A",,"G",218,"A",,2
158325,"R",2399,"A",,"A",,"G",80,"A",,"G",80,"A",,2
158334,"A",,"R",38700,"A",,"G",43,"A",,"G",43,"A",,1
158343,"R",2835,"A",,"A",,"G",95,"A",,"G",95,"A",,2
158352,"R",33771,"A",,"A",,"G",1126,"A",,"G",1126,"A",,2
158431,"R",106564,"A",,"A",,"G",3552,"A",,"G",3552,"A",,2
158440,"R",4389,"A",,"A",,"G",146,"A",,"G",146,"A",,2
158477,"R",25458,"A",,"R",897,"G",849,"G",37,"G",849,"G",37,2
158538,"A",,"R",57525,"A",,"G",64,"A",,"G",64,"A",,1
158583,"R",6035,"A",,"A",,"G",201,"A",,"G",201,"A",,2
158617,"R",17723,"R",292543,"A",,"G",916,"A",,"G",916,"A",,3
158644,"A",,"R",53846,"A",,"G",60,"A",,"G",60,"A",,1
158662,"R",305389,"A",,"A",,"G",10180,"A",,"G",10180,"A",,2
158723,"R",19700,"A",,"A",,"G",438,"A",,"G",438,"A",,2
158769,"R",17032,"A",,"A",,"G",568,"A",,"G",568,"A",,2
158778,"A",,"R",24340,"A",,"G",27,"A",,"G",27,"A",,1
158787,"A",,"R",66920,"A",,"G",74,"A",,"G",74,"A",,1
158802,"R",26562,"A",,"A",,"G",885,"A",,"G",885,"A",,2
158884,"R",31145,"A",,"A",,"G",1038,"A",,"G",1038,"A",,2
158893,"R",6712,"A",,"A",,"G",224,"A",,"G",224,"A",,2
158936,"R",11165,"A",,"A",,"G",372,"A",,"G",372,"A",,2
158945,"R",28946,"A",,"A",,"G",965,"A",,"G",965,"A",,2
159009,"R",142544,"A",,"R",9051,"G",4751,"G",377,"G",4751,"G",377,2
159018,"R",10180,"A",,"A",,"G",339,"A",,"G",339,"A",,2
159027,"A",,"R",118932,"A",,"G",132,"A",,"G",132,"A",,1
159045,"R",10082,"A",,"A",,"G",336,"A",,"G",336,"A",,2
159090,"R",6133,"A",,"A",,"G",204,"A",,"G",204,"A",,2
159197,"R",11550,"A",,"A",,"G",385,"A",,"G",385,"A",,2
159249,"R",4269,"A",,"A",,"G",142,"A",,"G",142,"A",,2
159258,"R",17019,"A",,"A",,"G",567,"A",,"G",567,"A",,2
159267,"R",7557,"A",,"A",,"G",252,"A",,"G",252,"A",,2
159319,"A",,"R",9600,"A",,"G",11,"A",,"G",11,"A",,1
159328,"A",,"R",210000,"A",,"G",233,"A",,"G",233,"A",,1
159373,"R",22796,"A",,"R",20658,"G",760,"G",861,"G",760,"G",861,2
159382,"R",58355,"A",,"A",,"G",1945,"A",,"G",1945,"A",,2
159391,"R",680631,"A",,"R",91499,"G",22688,"G",3812,"G",22688,"G",3812,2
159407,"R",53295,"A",,"A",,"G",1777,"A",,"G",1777,"A",,2
159416,"R",89826,"A",,"R",6101,"G",2994,"G",254,"G",2994,"G",254,2
159443,"R",27697,"A",,"A",,"G",923,"A",,"G",923,"A",,2
159513,"A",,"R",102427,"A",,"G",114,"A",,"G",114,"A",,1
159522,"A",,"R",97500,"A",,"G",108,"A",,"G",108,"A",,1
159531,"A",,"R",62100,"A",,"G",69,"A",,"G",69,"A",,1
159568,"R",25419,"A",,"R",6814,"G",847,"G",284,"G",847,"G",284,2
159601,"A",,"R",73008,"A",,"G",81,"A",,"G",81,"A",,1
159647,"R",230366,"A",,"R",29486,"G",5119,"G",819,"R",7679,"R",1229,2
159656,"R",79710,"A",,"R",15292,"G",2657,"G",637,"G",2657,"G",637,2
159692,"R",6123,"A",,"A",,"G",204,"A",,"G",204,"A",,2
159717,"R",202307,"A",,"R",17084,"G",6744,"G",712,"G",6744,"G",712,2
159823,"R",6597,"A",,"A",,"G",220,"A",,"G",220,"A",,2
159939,"R",225414,"A",,"R",44732,"G",7514,"G",1864,"G",7514,"G",1864,2
159948,"R",16391,"A",,"R",25486,"G",546,"G",1062,"G",546,"G",1062,2
159966,"R",179636,"A",,"R",9380,"G",5988,"G",391,"G",5988,"G",391,2
159984,"R",3582,"A",,"A",,"G",119,"A",,"G",119,"A",,2
