UNITID,EFFYLEV,LSTUDY,XEYNRALM,EFYNRALM,XEYNRALW,EFYNRALW,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XEYUNKNM,EFYUNKNM,XEYUNKNW,EFYUNKNW,XEYTOTLM,EFYTOTLM,XEYTOTLW,EFYTOTLW,XEYNRALT,EFYNRALT,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XEYUNKNT,EFYUNKNT,XEYTOTLT,EFYTOTLT,XEFYHISM,EFYHISPM,XEFYHISW,EFYHISPW,XEFYAIAM,EFYAIANM,XEFYAIAW,EFYAIANW,XEFYASIM,EFYASIAM,XEFYASIW,EFYASIAW,XEFYBKAM,EFYBKAAM,XEFYBKAW,EFYBKAAW,XEFYNHPM,EFYNHPIM,XEFYNHPW,EFYNHPIW,XEFYWHIM,EFYWHITM,XEFYWHIW,EFYWHITW,XEFY2MOM,EFY2MORM,XEFY2MOW,EFY2MORW,XEFYHIST,EFYHISPT,XEFYAIAT,EFYAIANT,XEFYASIT,EFYASIAT,XEFYBKAT,EFYBKAAT,XEFYNHPT,EFYNHPIT,XEFYWHIT,EFYWHITT,XEFY2MOT,EFY2MORT,XDVEYAIT,DVEYAIT,XDVEYAIM,DVEYAIM,XDVEYAIW,DVEYAIW,XDVEYAPT,DVEYAPT,XDVEYAPM,DVEYAPM,XDVEYAPW,DVEYAPW,XDVEYBKT,DVEYBKT,XDVEYBKM,DVEYBKM,XDVEYBKW,DVEYBKW,XDVEYHST,DVEYHST,XDVEYHSM,DVEYHSM,XDVEYHSW,DVEYHSW,XDVEYWHT,DVEYWHT,XDVEYWHM,DVEYWHM,XDVEYWHW,DVEYWHW 
231651,2,  1,"R",2,"R",8,"R",192,"R",409,"R",8,"R",8,"R",19,"R",35,"R",58,"R",104,"R",526,"R",862,"R",63,"R",138,"R",868,"R",1564,"R",10,"R",601,"R",16,"R",54,"R",162,"R",1388,"R",201,"R",2432,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",16,"R",8,"R",8,"R",54,"R",19,"R",35,"R",601,"R",192,"R",409,"R",162,"R",58,"R",104,"R",1388,"R",526,"R",862
231651,4,  3,"R",88,"R",61,"R",247,"R",618,"R",8,"R",10,"R",33,"R",41,"R",40,"R",71,"R",953,"R",965,"R",86,"R",189,"R",1455,"R",1955,"R",149,"R",865,"R",18,"R",74,"R",111,"R",1918,"R",275,"R",3410,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",18,"R",8,"R",10,"R",74,"R",33,"R",41,"R",865,"R",247,"R",618,"R",111,"R",40,"R",71,"R",1918,"R",953,"R",965
231688,1,999,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"R",4,"R",49,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"R",53,"Z",0,"R",2,"Z",0,"Z",0,"R",2,"R",5,"R",2,"R",26,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",4,"R",2,"Z",0,"R",7,"R",28,"Z",0,"R",12,"R",4,"Z",0,"Z",0,"Z",0,"R",7,"R",2,"R",5,"R",28,"R",2,"R",26,"R",2,"Z",0,"R",2,"R",12,"Z",0,"R",12
231688,2,  1,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"R",4,"R",49,"Z",0,"A",,"A",,"A",,"A",,"A",,"Z",0,"R",53,"Z",0,"R",2,"Z",0,"Z",0,"R",2,"R",5,"R",2,"R",26,"Z",0,"Z",0,"Z",0,"R",12,"Z",0,"R",4,"R",2,"Z",0,"R",7,"R",28,"Z",0,"R",12,"R",4,"Z",0,"Z",0,"Z",0,"R",7,"R",2,"R",5,"R",28,"R",2,"R",26,"R",2,"Z",0,"R",2,"R",12,"Z",0,"R",12
231697,1,999,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",185,"R",157,"R",3642,"R",4365,"R",2,"A",,"A",,"A",,"A",,"A",,"R",342,"R",8007,"R",52,"R",58,"R",32,"R",16,"R",43,"R",56,"R",455,"R",767,"R",1,"R",7,"R",2867,"R",3295,"R",6,"R",8,"R",110,"R",48,"R",99,"R",1222,"R",8,"R",6162,"R",14,"R",48,"R",32,"R",16,"R",107,"R",44,"R",63,"R",1222,"R",455,"R",767,"R",110,"R",52,"R",58,"R",6162,"R",2867,"R",3295
231697,2,  1,"R",1,"R",1,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",185,"R",157,"R",3642,"R",4365,"R",2,"A",,"A",,"A",,"A",,"A",,"R",342,"R",8007,"R",52,"R",58,"R",32,"R",16,"R",43,"R",56,"R",455,"R",767,"R",1,"R",7,"R",2867,"R",3295,"R",6,"R",8,"R",110,"R",48,"R",99,"R",1222,"R",8,"R",6162,"R",14,"R",48,"R",32,"R",16,"R",107,"R",44,"R",63,"R",1222,"R",455,"R",767,"R",110,"R",52,"R",58,"R",6162,"R",2867,"R",3295
231712,1,999,"R",16,"R",8,"R",199,"R",225,"R",16,"R",15,"R",75,"R",93,"R",64,"R",87,"R",1810,"R",2408,"R",81,"R",105,"R",2261,"R",2941,"R",24,"R",424,"R",31,"R",168,"R",151,"R",4218,"R",186,"R",5202,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",31,"R",16,"R",15,"R",168,"R",75,"R",93,"R",424,"R",199,"R",225,"R",151,"R",64,"R",87,"R",4218,"R",1810,"R",2408
231712,2,  1,"R",12,"R",8,"R",198,"R",219,"R",16,"R",15,"R",75,"R",92,"R",62,"R",84,"R",1747,"R",2234,"R",71,"R",87,"R",2181,"R",2739,"R",20,"R",417,"R",31,"R",167,"R",146,"R",3981,"R",158,"R",4920,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",31,"R",16,"R",15,"R",167,"R",75,"R",92,"R",417,"R",198,"R",219,"R",146,"R",62,"R",84,"R",3981,"R",1747,"R",2234
231712,4,  3,"R",4,"R",0,"R",1,"R",6,"R",0,"R",0,"R",0,"R",1,"R",2,"R",3,"R",63,"R",174,"R",10,"R",18,"R",80,"R",202,"R",4,"R",7,"R",0,"R",1,"R",5,"R",237,"R",28,"R",282,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",7,"R",1,"R",6,"R",5,"R",2,"R",3,"R",237,"R",63,"R",174
231721,1,999,"Z",0,"Z",0,"R",6,"R",94,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"Z",0,"Z",0,"R",6,"R",105,"Z",0,"R",100,"Z",0,"Z",0,"Z",0,"R",11,"Z",0,"R",111,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",100,"R",6,"R",94,"Z",0,"Z",0,"Z",0,"R",11,"Z",0,"R",11
