;Z,ENSIGN,WESTMIN,WSU_MAIN,WSU_DAVIS,SLCC_SC,BYU,SLCC_MAIN,UVU_MAIN,UOFU_MAIN,SLCC_JD,SLCC_ML
336,0,0,4,0,0,0,0,0,0,0,0
337,0,0,8,0,0,0,0,0,0,0,0
338,0,0,57,9,0,0,0,0,0,0,0
340,0,0,8,6,0,0,0,0,4,0,0
341,0,0,1,0,0,0,0,0,0,0,0
342,0,0,20,3,0,0,0,0,0,0,0
343,0,0,1,0,0,0,0,0,0,0,0
344,0,0,3,2,0,0,0,0,0,0,0
345,0,0,8,0,0,0,0,0,0,0,0
346,0,0,42,3,0,0,0,0,0,0,0
347,3,0,9,0,0,1,0,0,0,0,0
348,0,0,19,5,0,1,0,0,0,0,0
349,0,0,6,0,0,0,0,0,0,0,0
350,0,0,3,0,0,0,0,0,0,0,0
352,0,0,1,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0
356,0,0,20,0,0,1,0,0,0,0,0
358,0,0,25,0,0,1,0,0,0,0,0
359,0,0,5,0,0,0,0,0,0,0,0
360,0,0,27,0,0,0,0,0,0,0,0
361,0,0,11,1,0,0,0,0,0,0,0
362,0,0,3,0,0,0,0,0,0,0,0
363,0,0,6,0,0,0,0,0,0,0,0
368,0,0,6,0,0,0,0,0,0,0,0
372,0,0,7,1,0,0,7,0,0,0,0
373,0,0,6,0,0,0,0,0,13,0,0
374,0,0,21,2,0,0,0,0,0,0,0
375,0,0,9,1,0,0,1,0,0,0,0
376,0,0,1,0,0,0,0,0,0,0,0
377,0,0,28,0,0,0,0,0,0,0,0
378,0,0,5,0,0,0,0,0,0,0,0
379,0,0,42,0,0,0,0,0,0,0,0
380,0,0,33,0,0,0,0,0,0,0,0
381,0,0,79,0,0,0,0,0,0,0,0
382,0,0,3,0,0,0,0,0,0,0,0
387,0,0,9,0,0,0,0,0,0,0,0
390,0,0,2,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0
393,0,0,6,0,0,0,0,0,0,0,0
396,0,0,9,0,0,0,0,0,0,0,0
397,0,0,14,3,0,0,0,0,0,0,0
398,0,0,51,2,0,0,0,0,0,0,0
399,0,0,8,3,0,0,0,0,0,0,0
400,0,0,24,0,0,0,0,0,0,0,0
401,0,0,5,0,0,0,0,0,0,0,0
402,0,0,15,3,0,0,0,0,43,0,0
403,0,0,14,4,0,0,0,0,0,0,0
404,0,0,25,0,0,0,0,0,0,0,0
410,0,0,3,0,0,0,0,0,0,0,0
412,0,0,1,0,0,0,0,0,0,0,0
413,0,0,4,0,0,0,0,0,0,0,0
414,0,0,4,0,0,0,0,0,0,0,0
415,0,0,10,0,0,0,0,0,0,0,0
416,0,0,2,0,0,0,0,0,0,0,0
417,0,0,12,2,0,0,0,0,0,0,0
418,0,0,6,3,0,0,0,0,0,0,0
419,0,0,48,16,0,0,0,0,0,0,0
420,0,0,16,4,0,1,0,0,0,0,0
421,0,0,6,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,0
425,0,0,6,1,0,0,0,0,0,0,0
426,0,0,3,0,0,0,0,0,0,0,0
427,0,0,6,1,0,0,0,0,8,0,0
428,0,0,2,0,0,0,0,0,0,0,0
429,0,0,6,1,0,0,0,0,0,0,0
430,0,0,32,4,0,0,0,0,0,0,0
431,0,0,2,0,0,0,0,0,0,0,0
432,0,0,34,3,0,0,0,0,0,0,0
433,0,0,19,2,0,0,0,0,0,0,0
435,0,0,2,0,0,0,0,0,0,0,0
436,0,0,33,2,0,0,0,0,0,0,0
437,0,0,2207,13,0,0,0,0,0,0,0
438,0,0,30,4,0,0,0,0,0,0,0
439,0,0,3,3,0,0,0,0,0,0,0
440,0,0,4,1,0,0,0,0,2,0,0
441,0,1,101,3,0,0,0,0,0,0,0
442,0,1,15,4,0,0,0,0,9,0,0
443,0,0,555,20,0,0,0,0,11,0,0
444,0,0,7,0,0,0,0,0,0,0,1
445,4,0,6,0,0,0,0,0,0,0,0
446,0,0,8,2,0,0,0,0,0,0,0
447,0,0,2,0,0,0,6,0,0,0,0
448,0,0,1,0,0,0,0,0,0,0,0
449,0,0,0,0,0,0,9,0,0,0,0
450,0,0,2,0,0,0,20,0,0,0,0
452,0,0,0,0,0,2,0,0,0,0,0
453,0,0,2,0,0,1,0,0,0,0,0
454,0,0,4,0,0,1,0,15,0,0,0
455,0,0,3,1,0,0,0,0,22,0,0
456,0,0,6,6,0,0,0,0,0,0,0
457,0,0,1,1,0,0,0,0,0,0,0
458,0,0,2,0,0,1,0,0,0,0,0
459,0,0,11,0,0,0,0,0,0,0,0
460,0,0,14,0,0,0,0,0,0,0,0
461,0,0,54,0,0,0,0,0,0,0,0
462,0,0,8,0,0,0,0,0,0,0,0
465,0,0,3,3,0,0,0,0,0,0,0
467,0,0,14,0,0,0,0,0,0,0,0
468,0,0,3,0,0,0,0,0,0,0,0
469,4,0,15,6,0,0,0,0,0,0,0
470,0,0,3,57,0,0,0,0,0,0,1
471,0,0,2,4,0,2,0,0,0,0,0
472,0,0,3,0,0,0,0,0,0,0,0
473,0,0,14,18,0,0,0,0,0,0,0
474,0,0,3,0,0,0,0,0,0,0,0
475,0,0,0,6,0,0,0,0,0,0,0
477,0,0,0,3,0,0,0,0,0,0,0
478,0,0,0,0,0,5,0,0,0,0,0
480,0,0,3,0,0,0,0,0,0,0,0
481,0,0,0,3,0,2,0,0,0,0,0
482,0,0,5,0,0,0,0,0,0,0,0
484,0,0,14,0,0,0,0,0,0,0,0
485,0,0,4,3,0,0,0,0,0,0,0
488,0,0,24,0,0,0,0,0,0,0,0
489,0,0,8,0,0,1,0,0,0,0,0
492,0,0,66,3,0,0,0,0,0,0,0
493,0,0,0,0,0,0,5,0,0,0,0
496,0,0,34,5,0,0,0,0,0,0,0
497,0,0,0,0,1,0,0,0,0,0,0
498,0,0,2,3,0,0,0,0,0,0,0
499,0,0,9,2,0,0,0,0,0,0,0
500,0,0,10,2,0,0,0,0,21,0,0
501,0,0,61,0,0,0,0,0,0,0,0
502,0,0,7,0,0,0,0,0,5,0,0
503,0,0,0,7,0,0,0,0,0,0,0
504,0,0,11,3,0,0,0,0,0,0,0
505,0,0,32,0,0,0,0,0,0,0,0
506,0,0,22,11,0,0,0,0,0,0,0
507,0,0,1,0,0,0,0,0,0,0,0
508,0,0,58,0,0,0,0,0,0,0,0
509,0,0,15,2,0,0,0,0,0,0,0
510,0,0,0,0,0,0,0,0,4,0,0
511,0,0,4,2,0,0,0,0,2,0,0
512,0,0,5,21,0,0,0,0,0,0,0
513,0,0,0,14,0,0,0,0,0,0,0
514,0,0,1,1,0,0,0,0,0,0,0
515,0,0,17,0,0,0,0,0,0,0,0
516,0,0,6,3,0,0,0,0,0,0,0
517,0,0,18,0,0,0,0,0,0,0,0
518,0,0,8,3,0,0,0,0,0,0,0
520,0,0,29,0,0,0,0,0,25,0,0
521,0,0,31,2,0,0,22,0,0,0,0
522,0,0,0,3,0,1,14,0,0,0,0
523,0,0,22,14,2,0,0,0,0,0,0
524,0,0,31,0,0,0,0,0,0,0,0
525,0,0,6,0,0,0,0,0,0,0,0
526,0,0,2,1,0,0,0,0,0,0,0
528,0,0,0,0,0,2,0,0,0,0,0
529,0,0,5,1,0,0,0,0,0,0,0
530,0,0,19,2,0,1,0,0,0,0,0
531,0,0,1,0,0,0,0,0,0,0,0
533,0,0,4,1,0,0,0,0,0,0,0
535,0,0,7,0,0,0,0,0,0,0,0
537,0,0,11,7,0,0,0,0,0,0,0
538,0,0,5,1,0,0,3,0,0,0,0
539,0,0,6,0,0,0,0,0,0,0,0
542,0,0,4,0,0,0,0,0,0,0,0
543,0,0,78,0,0,0,0,0,0,0,0
544,0,0,51,1,0,0,0,0,0,0,0
545,0,0,41,2,0,0,0,0,0,0,0
546,0,0,0,7,0,0,0,0,0,0,0
547,0,0,18,1,0,0,0,0,0,0,0
548,0,0,10,1,0,0,0,0,0,0,0
550,0,0,1,0,0,0,0,0,0,0,0
551,0,0,61,0,0,0,27,0,0,0,0
554,0,0,12,0,2,0,0,0,0,0,0
555,0,0,1,0,0,0,0,0,0,0,0
556,0,0,6,0,0,0,0,0,0,0,0
557,0,0,6,0,0,0,0,0,0,0,0
558,0,0,3,0,0,0,0,0,0,0,0
560,0,0,8,4,0,0,0,0,30,0,0
561,0,0,18,3,0,0,0,0,0,0,0
562,0,0,1,0,0,0,0,0,0,0,0
563,0,0,31,0,0,3,0,0,0,0,0
564,0,0,17,8,0,0,0,0,0,0,0
565,0,0,17,1,0,0,0,0,0,0,0
566,0,0,5,6,0,0,0,0,0,0,0
567,0,0,1,4,0,0,0,0,30,0,0
568,0,0,11,1,0,0,0,0,0,0,0
569,0,0,5,7,0,0,0,0,10,0,0
570,0,2,19,11,0,0,0,17,0,0,0
571,0,0,24,17,0,1,0,0,0,3,0
572,0,0,86,3,0,0,0,0,46,0,0
573,0,0,7,0,0,0,0,0,30,0,0
574,0,0,3,0,0,0,0,0,0,0,0
575,0,0,5,1,0,0,0,0,0,0,0
584,0,0,0,0,0,0,0,0,27,0,0
588,0,0,0,1,0,0,0,0,0,0,1
589,0,0,0,7,0,0,0,0,0,0,0
591,0,0,0,1,0,0,0,0,0,0,0
592,0,0,0,2,0,0,0,0,18,0,0
593,0,0,0,2,0,0,0,0,0,0,0
594,0,0,0,2,0,0,0,0,0,0,0
595,0,0,69,4,0,0,0,0,0,0,0
596,0,0,7,5,0,0,0,0,8,0,0
597,0,0,0,1,0,0,0,0,0,0,0
598,0,0,0,1,0,0,0,0,0,0,0
599,0,0,0,2,0,0,0,0,0,0,0
600,0,0,9,1,0,0,0,0,4,0,0
601,0,0,0,2,0,0,0,0,4,0,0
603,0,0,55,0,0,0,0,0,0,0,0
604,0,0,31,0,0,0,0,0,4,0,0
606,0,0,79,2,0,0,0,0,0,0,0
607,0,0,0,2,0,0,0,0,0,0,0
609,0,0,20,3,0,0,0,0,14,0,0
610,0,0,0,0,0,0,0,0,0,0,0
611,0,0,45,9,0,0,0,0,0,0,0
612,0,0,0,3,0,0,0,0,8,0,0
614,0,0,59,5,0,0,0,0,0,0,0
615,0,0,1,0,0,0,0,0,0,0,0
616,0,0,23,7,0,0,0,0,4,0,0
